conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,count_diff,abs_count_error,defect_gt_boxes,defect_pred_boxes,defect_detected_boxes,defect_missed_boxes,defect_detect_rate,defect_miss_rate,normal_gt_boxes,normal_hit_by_defect_boxes,normal_to_defect_rate,broken_gt_boxes,broken_pred_boxes,broken_tp,broken_fp,broken_fn,broken_precision,broken_recall,broken_f1,normal_gt_boxes,normal_pred_boxes,normal_tp,normal_fp,normal_fn,normal_precision,normal_recall,normal_f1,muddy_gt_boxes,muddy_pred_boxes,muddy_tp,muddy_fp,muddy_fn,muddy_precision,muddy_recall,muddy_f1,empty_gt_boxes,empty_pred_boxes,empty_tp,empty_fp,empty_fn,empty_precision,empty_recall,empty_f1
0.7,871,2521,2720,3.1228473019517797,2419,301,102,0.8893382352941176,0.9595398651328838,0.9231062774279718,199,199,1675,1812,1625,50,0.9701492537313433,0.029850746268656716,846,9,0.010638297872340425,787,848,750,98,37,0.8844339622641509,0.9529860228716646,0.9174311926605505,846,908,821,87,25,0.9041850220264317,0.9704491725768322,0.936145952109464,521,539,483,56,38,0.8961038961038961,0.927063339731286,0.911320754716981,367,425,365,60,2,0.8588235294117647,0.9945504087193461,0.9217171717171717
0.71,871,2521,2714,3.1159586681974742,2418,296,103,0.8909358879882093,0.9591431971439904,0.9237822349570202,193,193,1675,1808,1622,53,0.9683582089552238,0.03164179104477612,846,9,0.010638297872340425,787,846,749,97,38,0.8853427895981087,0.951715374841169,0.9173300673606859,846,906,821,85,25,0.9061810154525386,0.9704491725768322,0.937214611872146,521,539,483,56,38,0.8961038961038961,0.927063339731286,0.911320754716981,367,423,365,58,2,0.8628841607565012,0.9945504087193461,0.9240506329113923
0.72,871,2521,2708,3.1090700344431688,2417,291,104,0.8925406203840472,0.9587465291550972,0.9244597437368522,187,187,1675,1805,1621,54,0.9677611940298507,0.032238805970149255,846,9,0.010638297872340425,787,844,748,96,39,0.8862559241706162,0.9504447268106735,0.9172286940527283,846,903,821,82,25,0.9091915836101883,0.9704491725768322,0.938822184105203,521,538,483,55,38,0.8977695167286245,0.927063339731286,0.9121813031161473,367,423,365,58,2,0.8628841607565012,0.9945504087193461,0.9240506329113923
0.73,871,2521,2703,3.103329506314581,2414,289,107,0.8930817610062893,0.9575565251884173,0.9241960183767228,182,182,1675,1800,1619,56,0.9665671641791045,0.03343283582089552,846,9,0.010638297872340425,787,843,747,96,40,0.8861209964412812,0.9491740787801779,0.916564417177914,846,903,821,82,25,0.9091915836101883,0.9704491725768322,0.938822184105203,521,534,481,53,40,0.900749063670412,0.9232245681381958,0.9118483412322275,367,423,365,58,2,0.8628841607565012,0.9945504087193461,0.9240506329113923
0.74,871,2521,2696,3.095292766934558,2411,285,110,0.8942878338278932,0.9563665212217374,0.9242859881157753,175,175,1675,1797,1618,57,0.9659701492537314,0.03402985074626866,846,9,0.010638297872340425,787,841,746,95,41,0.8870392390011891,0.9479034307496823,0.9164619164619163,846,899,819,80,27,0.9110122358175751,0.9680851063829787,0.9386819484240687,521,533,481,52,40,0.9024390243902439,0.9232245681381958,0.9127134724857685,367,423,365,58,2,0.8628841607565012,0.9945504087193461,0.9240506329113923
0.75,871,2521,2690,3.0884041331802528,2408,282,113,0.8951672862453531,0.9551765172550575,0.9241988102091728,169,169,1675,1793,1616,59,0.964776119402985,0.03522388059701492,846,9,0.010638297872340425,787,839,745,94,42,0.8879618593563766,0.9466327827191868,0.9163591635916359,846,897,817,80,29,0.9108138238573021,0.9657210401891253,0.9374641422834195,521,532,481,51,40,0.9041353383458647,0.9232245681381958,0.9135802469135803,367,422,365,57,2,0.8649289099526066,0.9945504087193461,0.9252217997465145
0.76,871,2521,2682,3.079219288174512,2406,276,115,0.8970917225950783,0.954383181277271,0.924851047472612,161,161,1675,1786,1613,62,0.9629850746268657,0.037014925373134326,846,9,0.010638297872340425,787,838,745,93,42,0.8890214797136038,0.9466327827191868,0.9169230769230771,846,896,817,79,29,0.9118303571428571,0.9657210401891253,0.9380022962112514,521,526,479,47,42,0.9106463878326996,0.9193857965451055,0.9149952244508118,367,422,365,57,2,0.8649289099526066,0.9945504087193461,0.9252217997465145
0.77,871,2521,2671,3.0665901262916186,2400,271,121,0.8985398727068513,0.9520031733439112,0.9244992295839753,150,150,1675,1778,1608,67,0.96,0.04,846,9,0.010638297872340425,787,831,741,90,46,0.8916967509025271,0.9415501905972046,0.9159456118665018,846,893,815,78,31,0.9126539753639418,0.9633569739952719,0.9373202990224266,521,525,479,46,42,0.9123809523809524,0.9193857965451055,0.9158699808795411,367,422,365,57,2,0.8649289099526066,0.9945504087193461,0.9252217997465145
0.78,871,2521,2669,3.064293915040184,2399,270,122,0.8988385162982391,0.9516065053550179,0.9244701348747592,148,148,1675,1776,1607,68,0.9594029850746268,0.04059701492537313,846,8,0.009456264775413711,787,829,740,89,47,0.8926417370325693,0.940279542566709,0.9158415841584159,846,893,815,78,31,0.9126539753639418,0.9633569739952719,0.9373202990224266,521,525,479,46,42,0.9123809523809524,0.9193857965451055,0.9158699808795411,367,422,365,57,2,0.8649289099526066,0.9945504087193461,0.9252217997465145
0.79,871,2521,2658,3.0516647531572905,2395,263,126,0.9010534236267871,0.9500198333994446,0.9248889747055415,137,137,1675,1771,1606,69,0.9588059701492537,0.04119402985074627,846,7,0.008274231678486997,787,827,740,87,47,0.8948004836759371,0.940279542566709,0.9169764560099133,846,887,812,75,34,0.915445321307779,0.9598108747044918,0.9371032890940566,521,522,478,44,43,0.9157088122605364,0.9174664107485605,0.9165867689357623,367,422,365,57,2,0.8649289099526066,0.9945504087193461,0.9252217997465145
0.8,871,2521,2645,3.0367393800229623,2386,259,135,0.9020793950850662,0.946449821499405,0.9237320944638018,124,124,1675,1761,1600,75,0.9552238805970149,0.04477611940298507,846,7,0.008274231678486997,787,822,738,84,49,0.8978102189781022,0.9377382465057179,0.9173399627097576,846,884,809,75,37,0.915158371040724,0.9562647754137116,0.9352601156069363,521,518,474,44,47,0.915057915057915,0.9097888675623801,0.9124157844080847,367,421,365,56,2,0.8669833729216152,0.9945504087193461,0.9263959390862944
