conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,delta_pred_boxes,delta_precision,delta_recall,delta_f1
0.75,871,2547,2927,3.3605051664753156,2465,462,82,0.8421592073795695,0.9678052610914801,0.9006211180124223,0,0.0,0.0,0.0
0.76,871,2547,2910,3.3409873708381173,2462,448,85,0.8460481099656357,0.9666274047899489,0.9023272860546088,-17,0.003888902586066223,-0.0011778563015312216,0.0017061680421864844
0.77,871,2547,2897,3.3260619977037886,2459,438,88,0.8488091128753883,0.9654495484884178,0.9033798677443057,-13,0.0027610029097525635,-0.0011778563015311105,0.0010525816896969076
0.78,871,2547,2886,3.3134328358208953,2455,431,92,0.8506583506583506,0.9638790734197095,0.9037364255475795,-11,0.0018492377829623097,-0.0015704750687083324,0.0003565578032738159
0.79,871,2547,2858,3.2812858783008036,2449,409,98,0.8568929321203639,0.961523360816647,0.9061979648473636,-28,0.006234581462013278,-0.002355712603062443,0.002461539299784099
0.8,871,2547,2840,3.2606199770378876,2442,398,105,0.8598591549295774,0.9587750294464076,0.9066270651568591,-18,0.002966222809213548,-0.002748331370239443,0.0004291003094955004
0.81,871,2547,2824,3.2422502870264065,2437,387,110,0.8629603399433428,0.9568119356105221,0.9074660212250976,-16,0.0031011850137653285,-0.0019630938358854433,0.0008389560682384722
0.82,871,2547,2803,3.2181400688863375,2430,373,117,0.8669282911166607,0.9540636042402827,0.9084112149532709,-21,0.003967951173317941,-0.002748331370239443,0.0009451937281733658
0.83,871,2547,2779,3.190585533869116,2422,357,125,0.871536523929471,0.9509226541028661,0.9095005632745025,-24,0.004608232812810309,-0.003140950137416554,0.0010893483212315314
0.84,871,2547,2756,3.1641791044776117,2413,343,134,0.875544267053701,0.9473890851982725,0.9100509145766548,-23,0.004007743124230023,-0.0035335689045936647,0.0005503513021523077
0.85,871,2547,2737,3.142365097588978,2405,332,142,0.8786993058092802,0.9442481350608559,0.9102952308856928,-19,0.003155038755579209,-0.003140950137416554,0.00024431630903798407
0.86,871,2547,2703,3.103329506314581,2386,317,161,0.8827229004809471,0.9367883784844916,0.908952380952381,-34,0.004023594671666908,-0.007459756576364329,-0.001342849933311796
0.87,871,2547,2664,3.058553386911596,2361,303,186,0.8862612612612613,0.9269729093050648,0.9061600460564192,-39,0.0035383607803141093,-0.009815469179426772,-0.0027923348959617567
0.88,871,2547,2604,2.989667049368542,2327,277,220,0.8936251920122887,0.9136238712210444,0.9035138807998446,-60,0.007363930751027481,-0.013349038084020437,-0.002646165256574573
0.89,871,2547,2551,2.9288174512055107,2297,254,250,0.9004312034496276,0.9018453082057323,0.9011377010592388,-53,0.0068060114373388325,-0.011778563015312105,-0.002376179740605777
0.9,871,2547,2483,2.8507462686567164,2253,230,294,0.9073701167942005,0.8845700824499411,0.8958250497017892,-68,0.006938913344572972,-0.017275225755791213,-0.005312651357449627
0.91,871,2547,2406,2.7623421354764637,2200,206,347,0.914380714879468,0.8637612877895563,0.8883504946497072,-77,0.007010598085267494,-0.020808794660384766,-0.007474555052082055
0.92,871,2547,2328,2.6727898966704937,2142,186,405,0.9201030927835051,0.8409893992932862,0.8787692307692306,-78,0.005722377904037068,-0.0227718884962701,-0.009581263880476532
