conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,delta_pred_boxes,delta_precision,delta_recall,delta_f1
0.75,871,2547,2584,2.9667049368541907,2205,379,342,0.853328173374613,0.8657243816254417,0.859481582537517,0,0.0,0.0,0.0
0.76,871,2547,2569,2.949483352468427,2200,369,347,0.8563643441027637,0.8637612877895563,0.8600469116497264,-15,0.0030361707281507666,-0.0019630938358854433,0.0005653291122093007
0.77,871,2547,2550,2.9276693455797935,2192,358,355,0.8596078431372549,0.8606203376521397,0.8601137924269178,-19,0.0032434990344911707,-0.003140950137416554,6.688077719141372e-05
0.78,871,2547,2538,2.9138920780711826,2185,353,362,0.8609141055949566,0.8578720062819003,0.8593903638151426,-12,0.0013062624577017123,-0.002748331370239443,-0.000723428611775212
0.79,871,2547,2515,2.8874856486796787,2176,339,371,0.8652087475149105,0.8543384373773066,0.8597392335045437,-23,0.004294641919953879,-0.0035335689045936647,0.0003488696894011767
0.8,871,2547,2490,2.8587830080367396,2159,331,388,0.8670682730923694,0.8476639183352964,0.8572563033551717,-25,0.0018595255774589425,-0.0066745190420102185,-0.0024829301493720646
0.81,871,2547,2463,2.827784156142365,2150,313,397,0.8729192042224929,0.8441303494307028,0.8582834331337326,-27,0.005850931130123471,-0.0035335689045936647,0.001027129778560898
0.82,871,2547,2434,2.794489092996556,2138,296,409,0.8783894823336073,0.839418924224578,0.8584621561935356,-29,0.005470278111114335,-0.004711425206124775,0.00017872305980304315
0.83,871,2547,2410,2.7669345579793343,2122,288,425,0.8804979253112033,0.8331370239497448,0.8561630018156143,-24,0.002108442977596048,-0.006281900274833219,-0.0022991543779212753
0.84,871,2547,2380,2.7324913892078073,2111,269,436,0.8869747899159663,0.828818217510797,0.856910899127258,-30,0.006476864604763044,-0.004318806438947775,0.0007478973116437082
0.85,871,2547,2356,2.7049368541905854,2095,261,452,0.8892190152801358,0.8225363172359639,0.8545788292881908,-24,0.002244225364169461,-0.006281900274833108,-0.0023320698390671968
0.86,871,2547,2325,2.669345579793341,2077,248,470,0.8933333333333333,0.8154691794267765,0.8526272577996715,-31,0.004114318053197508,-0.007067137809187329,-0.0019515714885193214
0.87,871,2547,2295,2.634902411021814,2063,232,484,0.8989106753812636,0.8099725166862976,0.8521272201569599,-30,0.005577342047930256,-0.005496662740478997,-0.0005000376427116704
0.88,871,2547,2254,2.587830080367394,2040,214,507,0.9050576752440106,0.800942285041225,0.8498229535513434,-41,0.006146999862747027,-0.00903023164507255,-0.002304266605616445
0.89,871,2547,2199,2.524684270952928,2004,195,543,0.9113233287858117,0.7868080094228505,0.8445006321112516,-55,0.006265653541801086,-0.014134275618374548,-0.005322321440091815
0.9,871,2547,2146,2.4638346727898965,1963,183,584,0.9147250698974837,0.7707106399685905,0.8365650969529086,-53,0.0034017411116720186,-0.01609736945425999,-0.007935535158342999
0.91,871,2547,2089,2.3983926521239955,1929,160,618,0.9234083293441838,0.7573616018845701,0.8321829163071615,-57,0.00868325944670012,-0.013349038084020326,-0.004382180645747136
0.92,871,2547,2017,2.3157290470723306,1887,130,660,0.9355478433316807,0.7408716136631331,0.8269062226117442,-72,0.012139513987496908,-0.01648998822143699,-0.005276693695417278
